DatetimeNYC,Temperature,ApparentTemperature,Humidity,WindSpeed,WindBearing,Visibility,LoudCover,Pressure
2019-01-01 00:00:00,-7.105555555555555,-7.105555555555555,0.96,3.2039,249.0,3.4132000000000002,0.0,1025.47
2019-01-01 01:00:00,-7.1000000000000005,-7.1000000000000005,0.96,3.8962000000000003,195.0,3.9123000000000006,0.0,1025.25
2019-01-01 02:00:00,-7.061111111111112,-7.061111111111112,1.0,3.2039,171.0,3.4132000000000002,0.0,1025.07
2019-01-01 03:00:00,-6.55,-6.55,0.96,3.2039,161.0,2.4955000000000003,0.0,1025.14
2019-01-01 04:00:00,-6.538888888888888,-9.705555555555556,0.96,6.391700000000001,185.0,2.6082000000000005,0.0,1024.62
2019-01-01 05:00:00,-6.03888888888889,-10.78888888888889,0.93,10.8997,190.0,2.9624,0.0,1024.26
2019-01-01 06:00:00,-6.016666666666666,-10.322222222222221,1.0,9.499,181.0,2.9624,0.0,1024.14
2019-01-01 07:00:00,-6.127777777777778,-11.27222222222222,0.93,12.236,189.0,2.0125,0.0,1023.73
2019-01-01 08:00:00,-5.972222222222222,-11.072222222222223,1.0,12.2199,190.0,2.4955000000000003,0.0,1023.65
2019-01-01 09:00:00,-5.95,-11.472222222222221,1.0,13.910400000000001,190.0,2.4955000000000003,0.0,1023.52
2019-01-01 10:00:00,-5.022222222222222,-10.766666666666667,0.93,15.826300000000002,189.0,1.5778,0.0,1023.24
2019-01-01 11:00:00,-4.861111111111111,-9.355555555555556,1.0,10.867500000000001,190.0,1.8998,0.0,1022.55
2019-01-01 12:00:00,-3.8388888888888886,-8.188888888888888,0.93,11.0768,190.0,1.449,0.0,1021.94
2019-01-01 13:00:00,-3.9833333333333343,-8.3,0.99,10.867500000000001,162.0,1.0465000000000002,0.0,1020.99
2019-01-01 14:00:00,-3.7944444444444434,-8.11111111111111,1.0,10.996300000000002,162.0,0.49910000000000004,0.0,1020.23
2019-01-01 15:00:00,-3.8166666666666678,-8.144444444444444,0.93,10.996300000000002,152.0,0.6601,0.0,1019.65
2019-01-01 16:00:00,-4.927777777777779,-9.850000000000001,0.99,12.380900000000002,162.0,0.1932,0.0,1019.31
2019-01-01 17:00:00,-5.900000000000001,-11.372222222222222,1.0,13.7172,171.0,0.3381,0.0,1018.69
2019-01-01 18:00:00,-5.922222222222222,-5.922222222222222,0.93,4.7012,153.0,0.1932,0.0,1018.67
2019-01-01 19:00:00,-6.061111111111111,-6.061111111111111,0.99,4.6368,215.0,0.16100000000000003,0.0,1018.95
2019-01-01 20:00:00,-5.922222222222222,-5.922222222222222,0.93,0.2898,200.0,0.16100000000000003,0.0,1018.75
2019-01-01 21:00:00,-5.900000000000001,-8.994444444444444,0.96,6.44,220.0,0.16100000000000003,0.0,1018.73
2019-01-01 22:00:00,-5.994444444444444,-8.4,0.99,5.055400000000001,174.0,0.1932,0.0,1018.35
2019-01-01 23:00:00,-5.388888888888889,-8.36111111111111,0.96,6.3434,192.0,0.16100000000000003,0.0,1017.91
2019-01-02 00:00:00,-5.366666666666666,-8.277777777777779,0.96,6.2146,222.0,0.16100000000000003,0.0,1017.91
2019-01-02 01:00:00,-6.322222222222221,-9.0,0.99,5.4579,250.0,0.6762,0.0,1019.79
2019-01-02 02:00:00,-5.877777777777776,-8.966666666666667,1.0,6.44,230.0,0.16100000000000003,0.0,1017.79
2019-01-02 03:00:00,-5.877777777777776,-5.877777777777776,0.96,3.3327,233.0,0.16100000000000003,0.0,1017.89
2019-01-02 04:00:00,-5.46111111111111,-5.46111111111111,0.96,4.2021,264.0,0.1771,0.0,1017.73
2019-01-02 05:00:00,-4.861111111111111,-4.861111111111111,1.0,4.7334000000000005,233.0,0.3381,0.0,1017.7
