DatetimeNYC,Temperature,ApparentTemperature,Humidity,WindSpeed,WindBearing,Visibility,LoudCover,Pressure
2017-01-01 00:00:00,-5.5777777777777775,-5.5777777777777775,0.92,0.0,0.0,2.9624,0.0,1026.68
2017-01-01 01:00:00,-5.544444444444445,-8.494444444444444,0.9,6.2468,38.0,2.8014,0.0,1026.13
2017-01-01 02:00:00,-5.5777777777777775,-8.622222222222222,0.88,6.44,40.0,3.8801000000000005,0.0,1025.99
2017-01-01 03:00:00,-5.5777777777777775,-8.622222222222222,0.88,6.44,50.0,3.8801000000000005,0.0,1025.88
2017-01-01 04:00:00,-5.583333333333333,-8.705555555555556,0.9,6.601,36.0,2.9946,0.0,1025.25
2017-01-01 05:00:00,-6.161111111111111,-10.938888888888888,0.92,10.9319,10.0,2.9624,0.0,1024.7
2017-01-01 06:00:00,-6.161111111111111,-10.938888888888888,0.89,10.9319,20.0,2.9624,0.0,1024.12
2017-01-01 07:00:00,-6.03888888888889,-10.133333333333335,0.89,8.8872,18.0,3.7835000000000005,0.0,1024.33
2017-01-01 08:00:00,-6.161111111111111,-10.444444444444445,0.92,9.3702,20.0,4.8461,0.0,1024.3
2017-01-01 09:00:00,-6.111111111111111,-10.877777777777776,0.92,10.9319,10.0,4.8461,0.0,1024.33
2017-01-01 10:00:00,-4.16111111111111,-8.066666666666666,0.82,9.3702,9.0,3.864,0.0,1024.52
2017-01-01 11:00:00,-5.050000000000001,-9.127777777777778,0.84,9.3702,30.0,2.5921000000000003,0.0,1024.4
2017-01-01 12:00:00,-4.977777777777778,-9.549999999999999,0.84,11.0607,0.0,10.948,0.0,1024.2
2017-01-01 13:00:00,-4.800000000000001,-9.43888888888889,0.91,11.414900000000001,358.0,1.9159,0.0,1023.88
2017-01-01 14:00:00,-4.977777777777778,-10.338888888888889,0.84,14.1358,10.0,1.8354,0.0,1023.52
2017-01-01 15:00:00,-5.0,-9.544444444444444,0.84,10.9319,10.0,2.0286,0.0,1023.62
2017-01-01 16:00:00,-4.955555555555557,-9.47777777777778,0.86,10.8836,7.0,2.0125,0.0,1023.72
2017-01-01 17:00:00,-6.133333333333333,-11.25,0.92,12.1555,351.0,2.6404,0.0,1024.02
2017-01-01 18:00:00,-5.138888888888889,-9.133333333333333,0.85,9.0965,10.0,2.6404,0.0,1024.02
2017-01-01 19:00:00,-6.105555555555554,-11.505555555555556,0.89,13.2664,347.0,3.5903,0.0,1024.23
2017-01-01 20:00:00,-6.222222222222222,-11.716666666666667,0.85,13.524000000000001,20.0,3.059,0.0,1024.52
2017-01-01 21:00:00,-6.638888888888889,-12.355555555555558,0.88,14.0553,11.0,3.059,0.0,1024.42
2017-01-01 22:00:00,-6.083333333333333,-11.722222222222221,0.86,14.2485,0.0,3.5742000000000007,0.0,1024.34
2017-01-01 23:00:00,-6.644444444444445,-12.344444444444443,0.88,13.9909,351.0,3.0751,0.0,1024.3
2017-01-02 00:00:00,-6.111111111111111,-11.549999999999999,0.88,13.3952,340.0,3.0751,0.0,1024.1
2017-01-02 01:00:00,-4.261111111111112,-4.261111111111112,0.92,3.7674,104.0,2.2218,0.0,1024.71
2017-01-02 02:00:00,-6.03888888888889,-11.533333333333331,0.89,13.685,340.0,3.0107000000000004,0.0,1023.99
2017-01-02 03:00:00,-6.016666666666666,-11.505555555555556,0.88,13.6689,340.0,3.0107000000000004,0.0,1023.9
2017-01-02 04:00:00,-5.933333333333334,-11.333333333333334,0.92,13.4113,340.0,2.8497000000000003,0.0,1023.74
